V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
640586,178,476,127,380,506,0,227,248,208,239,483,419,231,238,389,592,363,609,321,336,214,301,198,259,286,355,586,292,489,207,260,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,55,1,-2.1930359749344,-4.15787409992844
725195,342,554,377,744,561,0,250,409,256,246,564,355,243,227,587,650,528,349,530,444,242,338,215,491,430,497,498,301,483,212,236,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,88,28,4.64252139183524,0.172890741552104
782038,361,578,121,277,554,77,220,347,203,211,270,374,230,232,299,569,325,702,275,342,234,307,227,202,233,359,477,262,362,231,225,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,45,1,-2.20005414985104,-2.94959022788855
622583,398,601,95,238,558,190,234,216,210,180,315,280,219,249,330,500,333,393,289,347,228,285,206,320,247,294,486,208,394,219,271,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,69,16,4.77858750037516,2.12236042262903
473834,270,552,128,383,482,488,241,536,224,202,290,295,238,227,373,590,250,216,326,347,194,357,249,357,266,323,252,280,618,237,197,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,59,17,4.51855114697251,1.82056040161923
196223,192,499,107,254,484,408,243,270,260,256,266,560,227,234,228,579,220,609,348,336,248,275,195,283,285,309,440,344,537,223,161,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,35,1,-4.13406867798538,-2.78141819345551
158603,548,586,283,322,506,0,364,305,233,204,256,264,237,231,445,601,443,236,433,371,233,351,265,333,321,360,810,397,617,194,163,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,97,34,6.14859680182593,-0.936381446521447
530,550,624,113,272,533,489,240,298,186,218,296,387,226,238,266,586,310,738,372,336,245,358,244,227,251,335,303,288,410,216,256,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,45,1,-3.20833167821121,-2.46949775732032
697448,405,571,72,292,586,0,234,290,188,305,446,285,223,220,330,692,336,286,314,352,190,372,196,326,285,574,467,298,549,255,335,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,67,22,5.18608507263515,2.79946632988346
514675,357,576,79,250,558,0,205,258,152,248,390,282,235,243,319,614,337,294,305,342,201,833,199,262,517,306,595,459,486,195,273,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,18,4,-2.09528996533286,7.99340460038873
452698,344,575,126,310,568,0,220,270,192,244,359,461,240,227,340,592,337,645,280,354,204,358,231,281,296,340,649,241,378,210,298,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,55,1,-3.03510010286923,-4.27952493761939
83242,200,494,76,269,353,473,199,285,255,271,437,356,233,217,311,663,430,214,379,339,247,862,115,244,564,299,438,358,671,224,174,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,19,5,-2.80448902312528,7.8699690539473
149201,360,576,184,430,551,410,257,118,227,214,348,316,223,229,495,512,204,697,336,391,224,358,193,281,334,272,664,196,397,230,253,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,63,1,-1.01398930226904,-3.43758748052679
733755,444,570,117,274,596,0,376,254,131,248,578,322,233,231,305,701,380,681,476,401,235,327,157,276,262,307,789,212,580,222,387,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,85,26,6.48633301576819,-2.2223731389127
154551,225,476,115,377,522,0,352,253,32,169,488,342,228,229,321,688,411,697,328,260,249,167,171,164,297,198,1023,455,523,176,364,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,83,32,7.19113729496746,-1.79196052769631
392614,303,556,51,230,473,69,193,324,230,198,118,322,234,222,296,644,425,197,285,335,217,796,201,258,528,289,192,372,554,200,215,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,29,5,-2.42899903615226,8.36659507816917
244985,254,520,91,238,483,503,212,225,227,201,287,514,228,223,340,640,180,734,456,341,207,304,241,249,246,302,563,300,507,198,229,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,24,1,-5.13581902528787,-3.66655594359909
